Category,Description,Dimensions,Quantity,Material,Link,Unit Price (€),Total Price (€)
Bearings,Ball Bearing,35x47x7 mm,2,Steel,https://www.kugellager-express.de/rillenkugellager-6807-61807-offen-geoelt-35-47-7-mm,3.12,6.24
Bearings,Ball Bearing,40x52x7 mm,1,Steel,https://www.kugellager-express.de/rillenkugellager-6808-61808-offen-geoelt-40-52-7-mm,3.58,
Bearings,Ball Bearing,45x58x7 mm,2,Steel,https://www.kugellager-express.de/rillenkugellager-6809-61809-offen-geoelt-45-58-7-mm,4.65,9.3
Bearings,Ball Bearing ZZ,45x58x7 mm,1,Steel,https://www.kugellager-express.de/rillenkugellager-6809-61809-ZZ-45x58x7-mm,4.40,
Bearings,Ball Bearing ZZ,50x65x7 mm,1,Steel,https://www.kugellager-express.de/rillenkugellager-6810-61810-ZZ-50x65x7-mm,4.77,
Bearings,Flanged Ball Bearing ZZ,6x10x2.5 mm (flange 11.2x0.6 mm),1,Steel,https://www.kugellager-express.de/miniatur-flanschkugellager-mf-106-ZZ-6x10x3-mm,2.17,
Screws,Socket Head Cap Screw DIN 912,M2x6,2,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x6,2,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x10,4,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x30,7,Steel,,,
Screws,Countersunk Socket Head Screw DIN 7991,M3x8,3,Steel,,,
Pins & Bushings,Stainless Steel Dowel Pin,M6x12,1,Steel,https://de.aliexpress.com/item/32994193630.html,0.09,0.09
Pins & Bushings,Stainless Steel Dowel Pin,M8x30,6,Steel,https://de.aliexpress.com/item/1005008384685114.html,0.22,1.32
Pins & Bushings,Stainless Steel Dowel Pin,M8x40,20,Steel,https://de.aliexpress.com/item/1005008384685114.html,0.26,5.20
Pins & Bushings,Bushing,M8x10x25,20,Steel,https://de.aliexpress.com/item/1005004320890614.html,0.179,3.58
Pins & Bushings,Bushing,M8x10x15,6,Steel,https://de.aliexpress.com/item/1005004320890614.html,0.175,1.05
3D Printed Parts,Drive Shell,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,Drive Top Cover,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,Encoder Mounting Plate,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,Input Shaft,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,Lower Output Shaft,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,t25 Encoder Coupler,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,t50 Gear,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,Upper Output Shaft,,1,Nylon 12 Tough (Formlabs Fuse 1),,0,0
3D Printed Parts,Spring Contact Bracket,,1,Nylon 12 Tough (Formlabs Fuse 1),,30.31,30.31
Machined Parts,Cycloidal Disk,,1,Nylon 6,https://smapla-shop.de/pa-6-polyamid-zuschnitte.html?number=PA-S-10,,
Machined Parts,Rotor,,1,Aluminum 5083,https://www.aluminium-online-shop.de/produkt-kategorie/aluminium-platten-aluminium-bleche/feingefraeste-gussplatten,22.45,22.45
Machined Parts,Shell,,1,Aluminum 5083,https://www.aluminium-online-shop.de/produkt-kategorie/aluminium-platten-aluminium-bleche/feingefraeste-gussplatten,36.41,36.41
Motor Components,Magnet Ring (T-Motor 10025 Frameless BLDC),,1,—,https://faradyi.en.alibaba.com,0,0
Motor Components,Stator (T-Motor 10025 Frameless BLDC),,1,—,https://faradyi.en.alibaba.com,63.4,63.4
Electronics,Same Sky CUI Devices AMT102-2048-I6000-S Encoder,,1,—,https://www.mouser.de/ProductDetail/Same-Sky/AMT102-D2048-I6000-S,29,29
Electronics,Hall Encoder,,1,—,,10,10
Electronics,Magnet 40x25x5,,1,—,https://www.magnet-shop.net/neodym-magnete/ringmagnete/ringmagnet-40.0-x-25.0-x-5.0-mm-n42-nickel-diametral,8.48,8.48
,,,,,,,
