Category,Description,Dimensions,Quantity,Material,Link,Unit Price (€),Total Price (€)
Bearings,Ball Bearing,7x19x6,1,Steel,,,
Bearings,Ball Bearing,10x19x5,1,Steel,,,
Bearings,Ball Bearing,15x24x5,1,Steel,,,
Bearings,Ball Bearing,35x44x5,1,Steel,,,
Bearings,Ball Bearing ZZ,30x42x6,1,Steel,,,
Bearings,Ball Bearing ZZ,17x26x5,2,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M2x4,2,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x4,2,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x10,4,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x12,1,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x16,3,Steel,,,
Screws,Socket Head Cap Screw DIN 912,M3x25,4,Steel,,,
Pins & Bushings,Stainless Steel Dowel Pin,,16,Steel,,,
Pins & Bushings,Stainless Steel Dowel Pin,,6,Steel,,,
Pins & Bushings,Bushing,M6x8x20,16,Steel,,,
Pins & Bushings,Bushing,M6x8x10,6,Steel,,,
3D Printed Parts,3mm Shaft Adapter,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Drive Shell,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Drive Top Cover,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Encoder Mounting Plate,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Input Shaft,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Lower Output Shaft,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Staple Spacer,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Upper Output Shaft,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
3D Printed Parts,Spring Contact Bracket,,1,Nylon 12 Tough (Formlabs Fuse 1),,,
Machined Parts,Cycloidal Disk,,1,Nylon 6,,,
Machined Parts,Rotor,,1,Aluminum 5083,,,
Machined Parts,Shell,,1,Aluminum 5083,,,
Motor Components,Magnet Ring,,1,—,,,
Motor Components,Stator,,1,—,,,
Electronics,Same Sky CUI Devices AMT102-2048-I6000-S Encoder,,1,—,https://www.mouser.de/ProductDetail/Same-Sky/AMT102-D2048-I6000-S,,
Electronics,Hall Encoder,,1,—,,,
Electronics,Magnet 18x5,,1,—,,,
,,,,,,,
